Rank,Player_ID,Year,Game,Total_Year,Total_Game,Total_Others,per_of_Game,Total_Overall,per_of_Total,PlayerName,Nationality
90,inSec,2013,League of Legends,124944.48,14760.59,110183.89,11.81%,124944.48,11.81%,"Choi, In Seok",Korea
91,Conan,2013,League of Legends,46741.97,14560.95,32181.02,31.15%,46741.97,31.15%,"Ke, Yi",China
92,Shook,2013,League of Legends,37481.22,14354.72,23126.5,38.30%,37481.22,38.30%,Ilyas Hartsema,Netherlands 
93,Mazzerin,2013,League of Legends,14378.64,13981.88,396.76,97.24%,14378.64,97.24%,D?iugas Rep?ys,Lithuania 
94,Alunir,2013,League of Legends,14063.88,13981.88,82,99.42%,14063.88,99.42%,Gediminas Navakauskis,Lithuania 
95,Nbs,2013,League of Legends,13981.88,13981.88,0,100.00%,14046.88,99.54%,Laurynas Kisielius,Lithuania 
96,DeadlyBrother,2013,League of Legends,14023.08,13981.88,41.2,99.71%,14023.08,99.71%,Edas Vasiliauskas,Lithuania 
97,Benny,2013,League of Legends,17576.67,13456.67,4120,76.56%,17576.67,76.56%,Benny Hung,United States
98,BloodWater,2013,League of Legends,16263.34,13366.67,2896.67,82.19%,16263.34,82.19%,Lyubomir Spasov,Bulgaria 
99,Xmithie,2013,League of Legends,95345,13340,82005,13.99%,95345,13.99%,Jake Puchero,Philippines
100,Zuna,2013,League of Legends,16703.34,13340,3363.34,79.86%,81517.14,16.36%,Chris Buechter,United States
1,PawN,2014,League of Legends,405041.6,224294.45,180747.15,55.38%,405041.6,55.38%,"Heo, Won Seok",Korea
2,Looper,2014,League of Legends,346307.48,223769.37,122538.11,64.62%,346307.48,64.62%,"Jang, Hyeong Seok",Korea
3,DanDy,2014,League of Legends,279750.19,223769.37,55980.82,79.99%,279750.19,79.99%,"Choi, In Kyu",Korea
4,imp,2014,League of Legends,297719.56,223177.74,74541.82,74.96%,297719.56,74.96%,"Gu, Seung Bin",Korea
5,Mata,2014,League of Legends,382369.54,221918.2,160451.34,58.04%,382369.54,58.04%,"Cho, Se Hyeong",Korea
6,ClearLove,2014,League of Legends,356843.25,90312.71,266530.54,25.31%,356843.25,25.31%,"Ming, Kai",China
7,Koro1,2014,League of Legends,245956.44,90312.71,155643.73,36.72%,245956.44,36.72%,"Tong, Yang",China
8,Fzzf,2014,League of Legends,157148.86,83890.55,73258.31,53.38%,157148.86,53.38%,"Feng, Zhuojun",China
9,NaMei,2014,League of Legends,141938.87,83890.55,58048.32,59.10%,141938.87,59.10%,"Zhu, Jia Wen",China
10,U,2014,League of Legends,107432.88,83890.55,23542.33,78.09%,107432.88,78.09%,"Ceng, Long",China
11,Apdo,2014,League of Legends,81616.5,81616.5,0,100.00%,81616.5,100.00%,"Jeong, Sang Gil",Korea
12,inSec,2014,League of Legends,124944.48,80263.89,44680.59,64.24%,124944.48,64.24%,"Choi, In Seok",Korea
13,Uzi,2014,League of Legends,240632.74,74330.46,166302.28,30.89%,240632.74,30.89%,"Jian, Zihao",China
14,dade,2014,League of Legends,118986.53,72715.18,46271.35,61.11%,118986.53,61.11%,"Bae, Eo Jin",Korea
15,Corn,2014,League of Legends,72818.08,67878.98,4939.1,93.22%,72818.08,93.22%,"Lei, Wen",China
16,Deft,2014,League of Legends,268446.56,67789.4,200657.16,25.25%,268446.56,25.25%,"Kim, Hyuk Kyu",Korea
17,Spirit,2014,League of Legends,91148.26,66226.67,24921.59,72.66%,91148.26,72.66%,"Lee, Da Yoon",Korea
18,Acorn,2014,League of Legends,109619.63,64581.44,45038.19,58.91%,109619.63,58.91%,"Choi, Cheon Ju",Korea
19,Zero,2014,League of Legends,132052.26,64368.03,67684.23,48.74%,132052.26,48.74%,"Yoon, Kyung Sup",Korea
20,Cola,2014,League of Legends,64296.04,62359.39,1936.65,96.99%,64296.04,96.99%,"Jiang, Na",China
21,Heart,2014,League of Legends,75509.93,61367.24,14142.69,81.27%,75509.93,81.27%,"Lee, Kwan Hyung",Korea
22,Jay,2014,League of Legends,73551.6,58666.92,14884.68,79.76%,73551.6,79.76%,"Li, Chieh",Taiwan
23,Morning,2014,League of Legends,72301.6,58666.92,13634.68,81.14%,72301.6,81.14%,"Chen, Kuan Ting",Taiwan
24,bebe,2014,League of Legends,283170.35,58539.8,224630.55,20.67%,283170.35,20.67%,"Cheng, Bo Wei",Taiwan
25,Achie,2014,League of Legends,63795.03,58539.8,5255.23,91.76%,63795.03,91.76%,"Chen, Chen Chi",Taiwan
26,Gogoing,2014,League of Legends,113570.08,48614.57,64955.51,42.81%,113570.08,42.81%,"Gao, Di Ping",China
27,san,2014,League of Legends,108594.22,47960.69,60633.53,44.17%,108594.22,44.17%,"Guo, Jun Liang",China
28,Faker,2014,League of Legends,912406.26,42635.78,869770.48,4.67%,912406.26,4.67%,"Lee, Sang Hyeok",Korea
29,LoveLing,2014,League of Legends,110071.9,42219.01,67852.89,38.36%,110071.9,38.36%,"Yin, Le",China
30,SunnGoo,2014,League of Legends,47179.24,38965.03,8214.21,82.59%,47179.24,82.59%,"Fang, Hong Ri",China
31,Cool,2014,League of Legends,109844.36,38764.75,71079.61,35.29%,109844.36,35.29%,"Yu, Jia Jun",China
32,Sneaky,2014,League of Legends,136640,37800,98840,27.66%,136640,27.66%,Zachary Scuderi,United States 
33,Meteos,2014,League of Legends,126176.67,37800,88376.67,29.96%,126176.67,29.96%,William Hartman,United States 
34,Balls,2014,League of Legends,98863.33,37800,61063.33,38.23%,98863.33,38.23%,An Le,United States 
35,Hai,2014,League of Legends,98430,37800,60630,38.40%,98430,38.40%,Hai Lam,United States 
36,LemonNation,2014,League of Legends,97590,37800,59790,38.73%,97590,38.73%,Daerek Hart,United States 
37,DinTer,2014,League of Legends,58858.79,37666.92,21191.87,64.00%,58858.79,64.00%,"Xue, Hong Wei",Taiwan
38,westdoor,2014,League of Legends,111054.79,34130.41,76924.38,30.73%,111054.79,30.73%,"Liu, Shu Wei",Taiwan
39,GreenTea,2014,League of Legends,64280.29,34130.41,30149.88,53.10%,64280.29,53.10%,"Sa, Shang-Ching",Taiwan
40,Prydz,2014,League of Legends,44108.76,34024.48,10084.28,77.14%,44108.76,77.14%,"Chen, Kuang Feng",Taiwan
41,Naz,2014,League of Legends,34024.48,34024.48,0,100.00%,34024.48,100.00%,"Chen, Tien Chih",Taiwan
42,Piglet,2014,League of Legends,264929.15,33379.95,231549.2,12.60%,264929.15,12.60%,"Chae, Gwang Jin",Korea
43,PoohManDu,2014,League of Legends,256771.39,33379.95,223391.44,13.00%,256771.39,13.00%,"Lee, Jeong Hyeon",Korea
44,Lustboy,2014,League of Legends,130020.33,32528.36,97491.97,25.02%,130020.33,25.02%,"Ham, Jang Sik",Korea
45,KaKAO,2014,League of Legends,82049.09,31575.26,50473.83,38.48%,82049.09,38.48%,"Lee, Byung Kwon",Korea
46,Bengi,2014,League of Legends,810683,31528.78,779154.22,3.89%,810683,3.89%,"Bae, Seong Ung",Korea
47,Impact,2014,League of Legends,313021.84,31528.78,281493.06,10.07%,313021.84,10.07%,"Jung, Eon Yeong",Korea
48,Dyrus,2014,League of Legends,148642.78,31000,117642.78,20.86%,148642.78,20.86%,Marcus Hill,United States 
49,Bjergsen,2014,League of Legends,140811.3,31000,109811.3,22.02%,140811.3,22.02%,S?ren Bjerg,Denmark
50,WildTurtle,2014,League of Legends,132082.8,31000,101082.8,23.47%,132082.8,23.47%,Jason Tran,Canada
51,GarnetDevil,2014,League of Legends,38786.38,29024.48,9761.9,74.83%,46215.22,62.80%,"Lai, Yi I-Meng",Taiwan
52,Rekkles,2014,League of Legends,111627.4,29000,82627.4,25.98%,111627.4,25.98%,Martin Larsson,Sweden
53,Winds,2014,League of Legends,52939.79,28631.34,24308.45,54.08%,52939.79,54.08%,"Chen, Peng Nien",Taiwan
54,GorillA,2014,League of Legends,211210.22,28546.58,182663.64,13.52%,211210.22,13.52%,"Kang, Beom Hyeon",Korea
55,Save,2014,League of Legends,38727.16,28546.58,10180.58,73.71%,38727.16,73.71%,"Baek, Young Jin",Korea
56,Ggoong,2014,League of Legends,36594.83,28546.58,8048.25,78.01%,36594.83,78.01%,"Yu, Byeong Jun",Korea
57,Zefa,2014,League of Legends,31872.13,28546.58,3325.55,89.57%,31872.13,89.57%,"Lee, Jae Min",Korea
58,sOAZ,2014,League of Legends,171155.38,28000,143155.38,16.36%,171155.38,16.36%,Paul Boyer,France
59,YellOwStaR,2014,League of Legends,167221.97,28000,139221.97,16.74%,167608.11,16.71%,Bora Kim,France
60,xPeke,2014,League of Legends,166127.4,28000,138127.4,16.85%,166127.4,16.85%,Enrique Cede?o Martinez,Spain
61,Cyanide,2014,League of Legends,115902.1,28000,87902.1,24.16%,115902.1,24.16%,Lauri Happonen,Finland 
62,watch,2014,League of Legends,100012.32,26573.02,73439.3,26.57%,111458.7,23.84%,"Cho, Jae Geol",Korea
63,Cloud,2014,League of Legends,28500.06,25981.56,2518.5,91.16%,28500.06,91.16%,"Hu, Zhen Wei",China
64,Amazing,2014,League of Legends,95592.79,25000,70592.79,26.15%,95592.79,26.15%,Maurice St?ckenschneider,Germany 
65,Mlxg,2014,League of Legends,181432.16,24739.31,156692.85,13.64%,181432.16,13.64%,"Liu, Shi Yu",China
66,wuxx,2014,League of Legends,92312.97,24739.31,67573.66,26.80%,92312.97,26.80%,"Wang, Cheng",China
67,LeY,2014,League of Legends,84240.96,24739.31,59501.65,29.37%,84240.96,29.37%,"Le, Yi",China
68,Sask,2014,League of Legends,52849.81,24739.31,28110.5,46.81%,52849.81,46.81%,"Zhou, Yi Xiang",China
69,Skye,2014,League of Legends,33185.55,24739.31,8446.24,74.55%,33185.55,74.55%,"Fan, Qi Fang",China
70,Zzitai,2014,League of Legends,114371.08,22575.52,91795.56,19.74%,114371.08,19.74%,"Liu, Zhihao",China
71,kid,2014,League of Legends,111239.74,22575.52,88664.22,20.29%,111239.74,20.29%,"Ge, Yan",China
72,illuSioN,2014,League of Legends,75014.14,22575.52,52438.62,30.10%,75014.14,30.10%,"Chen, Xinlin",China
73,Kitties,2014,League of Legends,58729.11,22575.52,36153.59,38.44%,58729.11,38.44%,"Liu, Hong Jun",China
74,Arrow,2014,League of Legends,72605.09,22093.85,50511.24,30.43%,72605.09,30.43%,"No, Dong Hyeon",Korea
75,Wickd,2014,League of Legends,95908.88,22000,73908.88,22.94%,95908.88,22.94%,Mike Peterson,Denmark 
76,Froggen,2014,League of Legends,81923.75,22000,59923.75,26.85%,81923.75,26.85%,Henrik Hansen,Denmark 
77,Nyph,2014,League of Legends,47169.22,22000,25169.22,46.64%,47169.22,46.64%,Patrick Funke,Germany 
78,Shook,2014,League of Legends,37481.22,22000,15481.22,58.70%,37481.22,58.70%,Ilyas Hartsema,Netherlands 
79,Odoamne,2014,League of Legends,122879.3,21473.09,101406.21,17.47%,122879.3,17.47%,Andrei Pascu,Romania 
80,Febiven,2014,League of Legends,90030.18,21473.09,68557.09,23.85%,90030.18,23.85%,Fabian Diepstraten,Netherlands 
81,Hj?rnan,2014,League of Legends,35973.09,21473.09,14500,59.69%,35973.09,59.69%,Petter Freyschuss,Sweden
82,Tabzz,2014,League of Legends,46008.01,21000,25008.01,45.64%,46008.01,45.64%,Erik van Helvert,Netherlands 
83,Voidle,2014,League of Legends,42133.12,20332.69,21800.43,48.26%,42133.12,48.26%,Erih Sommermann,Estonia 
84,Ryu,2014,League of Legends,136742.36,20015.26,116727.1,14.64%,136742.36,14.64%,"Yoo, Sang Ook",Korea
85,Duke,2014,League of Legends,450210.43,19976.21,430234.22,4.44%,450210.43,4.44%,"Lee, Ho Seong",Korea
86,Score,2014,League of Legends,93165.14,18978.99,74186.15,20.37%,93165.14,20.37%,"Go, Dong Bin",Korea
87,MaFa,2014,League of Legends,35808.93,18881.83,16927.1,52.73%,35808.93,52.73%,"Won, Sang Yeon",Korea
88,GodLike,2014,League of Legends,82589.17,18540,64049.17,22.45%,82589.17,22.45%,"Xiao, Wang",China
89,Mor,2014,League of Legends,52986.39,18540,34446.39,34.99%,52986.39,34.99%,"Zhang, Hong Wei",China
90,Vasilii,2014,League of Legends,27563.47,18540,9023.47,67.26%,27563.47,67.26%,"Li, Wei Jun",China
91,NoName,2014,League of Legends,23650.71,18540,5110.71,78.39%,23650.71,78.39%,"Zhou, Qi Lin",China
92,XiaoWeiXiao,2014,League of Legends,22689.1,18540,4149.1,81.71%,22689.1,81.71%,"Yu, Xian",China
93,Conan,2014,League of Legends,46741.97,18364.78,28377.19,39.29%,46741.97,39.29%,"Ke, Yi",China
94,ssumday,2014,League of Legends,79375.31,18240.92,61134.39,22.98%,79375.31,22.98%,"Kim, Chan Ho",Korea
95,Rookie,2014,League of Legends,59838.84,18240.92,41597.92,30.48%,59838.84,30.48%,"Song, Eui Jin",Korea
96,Hachani,2014,League of Legends,35711.91,18240.92,17470.99,51.08%,35711.91,51.08%,"Ha, Seung Chan",Korea
97,GoDJJ,2014,League of Legends,35941.28,17598.4,18342.88,48.96%,35941.28,48.96%,Yong Jie Wang,Taiwan
98,AN,2014,League of Legends,85250.64,17577.21,67673.43,20.62%,85250.64,20.62%,"Chou, Chun An",Taiwan
99,Naru,2014,League of Legends,35152.6,17529.71,17622.89,49.87%,35152.6,49.87%,Koray B??ak,Turkey 
100,Crystal,2014,League of Legends,23380.79,17529.71,5851.08,74.97%,23380.79,74.97%,Atakan Ayd?n,Turkey
1,Faker,2015,League of Legends,912406.26,207158.85,705247.41,22.70%,912406.26,22.70%,"Lee, Sang Hyeok",Korea
2,Easyhoon,2015,League of Legends,234522.34,205179.93,29342.41,87.49%,234522.34,87.49%,"Lee, Ji Hoon",Korea
3,Wolf,2015,League of Legends,650328.41,203688.54,446639.87,31.32%,650328.41,31.32%,"Lee, Jae Wan",Korea
4,MaRin,2015,League of Legends,213498.02,200602.94,12895.08,93.96%,213498.02,93.96%,"Jang, Gyeong Hwan",Korea
5,Bengi,2015,League of Legends,810683,200139.69,610543.31,24.69%,810683,24.69%,"Bae, Seong Ung",Korea
6,Bang,2015,League of Legends,645827.17,200139.69,445687.48,30.99%,645827.17,30.99%,"Bae, Jun Sik",Korea
7,ClearLove,2015,League of Legends,356843.25,79017.5,277825.75,22.14%,356843.25,22.14%,"Ming, Kai",China
8,Deft,2015,League of Legends,268446.56,79017.5,189429.06,29.44%,268446.56,29.44%,"Kim, Hyuk Kyu",Korea
9,Koro1,2015,League of Legends,245956.44,79017.5,166938.94,32.13%,245956.44,32.13%,"Tong, Yang",China
10,Meiko,2015,League of Legends,193599.42,79017.5,114581.92,40.81%,193599.42,40.81%,"Tian, Ye",China
11,kurO,2015,League of Legends,190134.83,71906.42,118228.41,37.82%,190134.83,37.82%,"Lee, Seo Haeng",Korea
12,PraY,2015,League of Legends,254965.94,70673.8,184292.14,27.72%,254965.94,27.72%,"Kim, Jong In",Korea
13,Smeb,2015,League of Legends,209099.03,70210.55,138888.48,33.58%,209099.03,33.58%,"Song, Kyung Ho",Korea
14,GorillA,2015,League of Legends,211210.22,68357.57,142852.65,32.36%,211210.22,32.36%,"Kang, Beom Hyeon",Korea
15,HoJin,2015,League of Legends,70895.14,68357.57,2537.57,96.42%,70895.14,96.42%,"Lee, Ho Jin",Korea
16,PawN,2015,League of Legends,405041.6,63360.8,341680.8,15.64%,405041.6,15.64%,"Heo, Won Seok",Korea
17,Febiven,2015,League of Legends,90030.18,56000,34030.18,62.20%,90030.18,62.20%,Fabian Diepstraten,Netherlands
18,YellOwStaR,2015,League of Legends,167221.97,55000,112221.97,32.89%,167608.11,32.81%,Bora Kim,France 
19,Huni,2015,League of Legends,75587.28,55000,20587.28,72.76%,75587.28,72.76%,"Heo, Seung Hoon",Korea
20,Reignover,2015,League of Legends,66673.16,55000,11673.16,82.49%,66673.16,82.49%,"Kim, Eui Jin",Korea
21,sOAZ,2015,League of Legends,171155.38,48271.47,122883.91,28.20%,171155.38,28.20%,Paul Boyer,France
22,Mithy,2015,League of Legends,121362.21,48271.47,73090.74,39.77%,123462.21,39.10%,Alfonso Aguirre Rodriguez,Spain
23,Zven,2015,League of Legends,98750,48271.47,50478.53,48.88%,98750,48.88%,Jesper Svenningsen,Denmark
24,Amazing,2015,League of Legends,95592.79,48271.47,47321.32,50.50%,95592.79,50.50%,Maurice St?ckenschneider,Germany 
25,xPeke,2015,League of Legends,166127.4,43271.47,122855.93,26.05%,166127.4,26.05%,Enrique Cede?o Martinez,Spain
26,Bjergsen,2015,League of Legends,140811.3,42682.8,98128.5,30.31%,140811.3,30.31%,S?ren Bjerg,Denmark
27,Dyrus,2015,League of Legends,148642.78,41682.8,106959.98,28.04%,148642.78,28.04%,Marcus Hill,United States
28,WildTurtle,2015,League of Legends,132082.8,41682.8,90400,31.56%,132082.8,31.56%,Jason Tran,Canada
29,Lustboy,2015,League of Legends,130020.33,41682.8,88337.53,32.06%,130020.33,32.06%,"Ham, Jang Sik",Korea
30,Santorin,2015,League of Legends,56195.56,41682.8,14512.76,74.17%,56195.56,74.17%,Lucas Larsen,Denmark
31,Rekkles,2015,League of Legends,111627.4,41000,70627.4,36.73%,111627.4,36.73%,Martin Larsson,Sweden 
32,westdoor,2015,League of Legends,111054.79,40065.6,70989.19,36.08%,111054.79,36.08%,"Liu, Shu Wei",Taiwan
33,MrAlbis,2015,League of Legends,92541.49,40065.6,52475.89,43.29%,92541.49,43.29%,"Kang, Chia Wei",Taiwan
34,AN,2015,League of Legends,85250.64,40065.6,45185.04,47.00%,85250.64,47.00%,"Chou, Chun An",Taiwan
35,Ziv,2015,League of Legends,68963.5,40065.6,28897.9,58.10%,68963.5,58.10%,"Chen, Yi",Taiwan
36,Mountain,2015,League of Legends,69513.09,39065.6,30447.49,56.20%,69513.09,56.20%,"Xue, Zhao Hong",Taiwan
37,Piccaboo,2015,League of Legends,41218.67,35757.6,5461.07,86.75%,41218.67,86.75%,"Lee, Jong Beom",Korea
38,imp,2015,League of Legends,297719.56,35506.05,262213.51,11.93%,297719.56,11.93%,"Gu, Seung Bin",Korea
39,Acorn,2015,League of Legends,109619.63,35506.05,74113.58,32.39%,109619.63,32.39%,"Choi, Cheon Ju",Korea
40,Flame,2015,League of Legends,79362.85,35506.05,43856.8,44.74%,79362.85,44.74%,"Lee, Ho Jong",Korea
41,Pyl,2015,League of Legends,57735.9,35506.05,22229.85,61.50%,57735.9,61.50%,"Chen, Bo",China
42,GODV,2015,League of Legends,54293.75,35506.05,18787.7,65.40%,54293.75,65.40%,"Wei, Zhen",China
43,TBQ,2015,League of Legends,52940.3,35506.05,17434.25,67.07%,52940.3,67.07%,"Zhu, Yong Quan",China
44,ssumday,2015,League of Legends,79375.31,34079.85,45295.46,42.94%,79375.31,42.94%,"Kim, Chan Ho",Korea
45,Zzitai,2015,League of Legends,114371.08,32875.94,81495.14,28.74%,114371.08,28.74%,"Liu, Zhihao",China
46,KaKAO,2015,League of Legends,82049.09,32875.94,49173.15,40.07%,82049.09,40.07%,"Lee, Byung Kwon",Korea
47,Rookie,2015,League of Legends,59838.84,32875.94,26962.9,54.94%,59838.84,54.94%,"Song, Eui Jin",Korea
48,Kitties,2015,League of Legends,58729.11,32875.94,25853.17,55.98%,58729.11,55.98%,"Liu, Hong Jun",China
49,Mlxg,2015,League of Legends,181432.16,32418.31,149013.85,17.87%,181432.16,17.87%,"Liu, Shi Yu",China
50,wuxx,2015,League of Legends,92312.97,32418.31,59894.66,35.12%,92312.97,35.12%,"Wang, Cheng",China
51,LeY,2015,League of Legends,84240.96,32418.31,51822.65,38.48%,84240.96,38.48%,"Le, Yi",China
52,kid,2015,League of Legends,111239.74,29744.6,81495.14,26.74%,111239.74,26.74%,"Ge, Yan",China
53,xiaohu,2015,League of Legends,153814.56,29540.03,124274.53,19.20%,153814.56,19.20%,"Li, Yuan Hao",China
54,letme,2015,League of Legends,72750.76,29540.03,43210.73,40.60%,72750.76,40.60%,"Yan, Jun Ze",China
55,SwordArt,2015,League of Legends,120925.25,28534,92391.25,23.60%,120925.25,23.60%,"Hu, Shuo Jie",Taiwan
56,Maple,2015,League of Legends,117458.21,28534,88924.21,24.29%,117458.21,24.29%,"Huang, Yi Tang",Taiwan
57,NL,2015,League of Legends,94664.75,28534,66130.75,30.14%,94664.75,30.14%,"Hsiung, Wen An",Taiwan
58,Steak,2015,League of Legends,54770.5,28534,26236.5,52.10%,54770.5,52.10%,"Chou, Lu Hsi",Taiwan
59,Karsa,2015,League of Legends,94823.57,27501.91,67321.66,29.00%,94823.57,29.00%,"Hung, Hau Hsuan",Taiwan
60,Score,2015,League of Legends,93165.14,26953.23,66211.91,28.93%,93165.14,28.93%,"Go, Dong Bin",Korea
61,Arrow,2015,League of Legends,72605.09,26953.23,45651.86,37.12%,72605.09,37.12%,"No, Dong Hyeon",Korea
62,BaeMe,2015,League of Legends,77979.35,26535.35,51444,34.03%,77979.35,34.03%,"Kang, Yang Hyun",Korea
63,Nagne,2015,League of Legends,59847.63,25257.36,34590.27,42.20%,59847.63,42.20%,"Kim, Sang Moon",Korea
64,T0M,2015,League of Legends,24176.55,23694.49,482.06,98.01%,24176.55,98.01%,"Im, Jae Hyeon",Korea
65,Mor,2015,League of Legends,52986.39,23582.02,29404.37,44.51%,52986.39,44.51%,"Zhang, Hong Wei",China
66,Swift,2015,League of Legends,44782.41,23582.02,21200.39,52.66%,44782.41,52.66%,"Baek, Da Hoon",Korea
67,HappyY,2015,League of Legends,42592.39,23582.02,19010.37,55.37%,42592.39,55.37%,"Yu, Rui",China
68,doinb,2015,League of Legends,38403.93,23582.02,14821.91,61.41%,38403.93,61.41%,"Kim, Tae Sang",Korea
69,V,2015,League of Legends,34124.56,23582.02,10542.54,69.11%,34124.56,69.11%,"Bao, Bo",China
70,U,2015,League of Legends,107432.88,23028.13,84404.75,21.43%,107432.88,21.43%,"Ceng, Long",China
71,AmazingJ,2015,League of Legends,77459.42,21808.44,55650.98,28.15%,77459.42,28.15%,"Shek, Wai Ho",Hong Kong
72,GreenTea,2015,League of Legends,64280.29,20065.6,44214.69,31.22%,64280.29,31.22%,"Sa, Shang-Ching",Taiwan
73,xiye,2015,League of Legends,91733.39,19661.98,72071.41,21.43%,91733.39,21.43%,"Su, Han Wei",China
74,Mystic,2015,League of Legends,84190.18,19661.98,64528.2,23.35%,84190.18,23.35%,"Jin, Sung Joon",Korea
75,Aluka,2015,League of Legends,57560.65,19661.98,37898.67,34.16%,57560.65,34.16%,"Peng, Zhen Ming",China
76,JieZou,2015,League of Legends,33713.75,19412.79,14300.96,57.58%,33713.75,57.58%,"Xia, Heng",China
77,GimGoon,2015,League of Legends,25229.68,19412.79,5816.89,76.94%,25229.68,76.94%,"Kim, Han Saem",Korea
78,Romantic,2015,League of Legends,19412.79,19412.79,0,100.00%,19412.79,100.00%,"Zhang, Cheng",China
79,Xmithie,2015,League of Legends,95345,19200,76145,20.14%,95345,20.14%,Jake Puchero,Philippines 
80,Darshan,2015,League of Legends,92485,19200,73285,20.76%,92485,20.76%,Darshan Upadhyaha,United States 
81,Aphromoo,2015,League of Legends,89253.57,19200,70053.57,21.51%,89253.57,21.51%,Zaqueri Black,United States 
82,Doublelift,2015,League of Legends,93815.43,18000,75815.43,19.19%,93815.43,19.19%,Peter Peng,United States 
83,Steeelbackkk,2015,League of Legends,18439.63,17309.09,1130.54,93.87%,18439.63,93.87%,Pierre Medjaldi,France
84,Pobelter,2015,League of Legends,31200,17000,14200,54.49%,31200,54.49%,Eugene Park,United States 
85,Flandre,2015,League of Legends,39896.58,16870.6,23025.98,42.29%,39896.58,42.29%,"Li, Xuan Jun",China
86,Ella,2015,League of Legends,28345.37,16870.6,11474.77,59.52%,28345.37,59.52%,"Kwok, Hoon-kwak",Korea
87,Fan,2015,League of Legends,17823.04,16658.8,1164.24,93.47%,17823.04,93.47%,"Liu, Yi Fan",China
88,Unicon,2015,League of Legends,17301.55,16658.8,642.75,96.29%,17301.55,96.29%,"Wei, Li Sheng",China
89,GoDJJ,2015,League of Legends,35941.28,16398.44,19542.84,45.63%,35941.28,45.63%,Yong Jie Wang,Taiwan
90,Mouse,2015,League of Legends,122899.03,16118.4,106780.63,13.12%,122899.03,13.12%,"Chen, Yu Hao",China
91,Fireloli,2015,League of Legends,64055.47,16118.4,47937.07,25.16%,64055.47,25.16%,"Zhao, Zhi Ming",China
92,Ryu,2015,League of Legends,136742.36,15500,121242.36,11.34%,136742.36,11.34%,"Yoo, Sang Ook",Korea
93,Odoamne,2015,League of Legends,122879.3,15500,107379.3,12.61%,122879.3,12.61%,Andrei Pascu,Romania 
94,kaSing,2015,League of Legends,18541.62,15500,3041.62,83.60%,18541.62,83.60%,Raymond Tsang,United Kingdom 
95,Sneaky,2015,League of Legends,136640,14900,121740,10.90%,136640,10.90%,Zachary Scuderi,United States 
96,Balls,2015,League of Legends,98863.33,14900,83963.33,15.07%,98863.33,15.07%,An Le,United States 
97,Hai,2015,League of Legends,98430,14900,83530,15.14%,98430,15.14%,Hai Lam,United States 
98,Kramer,2015,League of Legends,19472.62,14767.79,4704.83,75.84%,19472.62,75.84%,"Ha, Jong-Hun",Korea
99,LemonNation,2015,League of Legends,97590,14500,83090,14.86%,97590,14.86%,Daerek Hart,United States 
100,Hj?rnan,2015,League of Legends,35973.09,14500,21473.09,40.31%,35973.09,40.31%,Petter Freyschuss,Sweden 
1,Duke,2016,League of Legends,450210.43,422755.33,27455.1,93.90%,450210.43,93.90%,"Lee, Ho Seong",Korea
2,Wolf,2016,League of Legends,650328.41,420169.33,230159.08,64.61%,650328.41,64.61%,"Lee, Jae Wan",Korea
3,Bang,2016,League of Legends,645827.17,420169.33,225657.84,65.06%,645827.17,65.06%,"Bae, Jun Sik",Korea
4,Faker,2016,League of Legends,912406.26,418365.33,494040.93,45.85%,912406.26,45.85%,"Lee, Sang Hyeok",Korea
5,Blank,2016,League of Legends,432056.66,418365.33,13691.33,96.83%,432056.66,96.83%,"Kang, Sun Gu",Korea
6,Bengi,2016,League of Legends,810683,358365.33,452317.67,44.21%,810683,44.21%,"Bae, Seong Ung",Korea
7,Ambition,2016,League of Legends,220797.62,141079.33,79718.29,63.90%,220797.62,63.90%,"Kang, Chan Yong",Korea
8,Crown,2016,League of Legends,150351.23,141079.33,9271.9,93.83%,150351.23,93.83%,"Lee, Min Ho",Korea
9,CuVee,2016,League of Legends,147193.73,141079.33,6114.4,95.85%,147193.73,95.85%,"Lee, Seong Jin",Korea
10,JJ,2016,League of Legends,146388.76,141079.33,5309.43,96.37%,146388.76,96.37%,"Jo, Yong In",Korea
11,Ruler,2016,League of Legends,143850.11,140491.2,3358.91,97.66%,143850.11,97.66%,"Park, Jae Hyuk",Korea
12,Wraith,2016,League of Legends,142880.25,131079.33,11800.92,91.74%,142880.25,91.74%,"Kwon, Ji Min",Korea
13,Smeb,2016,League of Legends,209099.03,120922.53,88176.5,57.83%,209099.03,57.83%,"Song, Kyung Ho",Korea
14,PraY,2016,League of Legends,254965.94,110218.53,144747.41,43.23%,254965.94,43.23%,"Kim, Jong In",Korea
15,GorillA,2016,League of Legends,211210.22,110218.53,100991.69,52.18%,211210.22,52.18%,"Kang, Beom Hyeon",Korea
16,Peanut,2016,League of Legends,132465.26,110218.53,22246.73,83.21%,132465.26,83.21%,"Han, Wang Ho",Korea
17,Mata,2016,League of Legends,382369.54,109754.24,272615.3,28.70%,382369.54,28.70%,"Cho, Se Hyeong",Korea
18,Looper,2016,League of Legends,346307.48,109754.24,236553.24,31.69%,346307.48,31.69%,"Jang, Hyeong Seok",Korea
19,Mlxg,2016,League of Legends,181432.16,109754.24,71677.92,60.49%,181432.16,60.49%,"Liu, Shi Yu",China 
20,xiaohu,2016,League of Legends,153814.56,109754.24,44060.32,71.35%,153814.56,71.35%,"Li, Yuan Hao",China 
